1,1-B,1.574 ,3.28 ,5.57,1.18 ,0.7,脆性
2,2-6,1.226 ,3.28 ,5.57,1.18 ,0.21,脆性
3,3-4,0.932 ,3.28 ,5.57,1.18 ,0.21,脆性
4,3-6,1.268 ,3.28 ,5.57,1.18 ,0.21,脆性
5,3-B,1.041 ,3.28 ,5.57,1.18 ,0.21,脆性
6,5-8,1.474 ,3.28 ,5.57,1.18 ,0.21,脆性
7,5-9,1.474 ,3.28 ,5.57,1.18 ,0.21,脆性
8,5-6,1.419 ,3.28 ,5.57,1.18 ,0.21,脆性
9,6-10,2.094 ,3.28 ,5.57,1.18 ,0.21,脆性
10,6-11,2.256 ,3.28 ,5.57,1.18 ,0.21,脆性
11,7-8,0.785 ,3.28 ,5.57,1.18 ,0.21,脆性
12,7-12,1.280 ,3.28 ,5.57,1.18 ,0.21,脆性
13,8-9,0.696 ,3.28 ,5.57,1.18 ,0.21,脆性
14,8-13,1.434 ,3.28 ,5.57,1.18 ,0.21,脆性
15,9-10,0.803 ,3.28 ,5.57,1.18 ,0.21,脆性
16,9-14,1.427 ,3.28 ,5.57,1.18 ,0.21,脆性
17,10-11,0.858 ,3.28 ,5.57,1.18 ,0.21,脆性
18,10-15,1.978 ,3.28 ,5.57,1.18 ,0.21,脆性
19,11-16,2.331 ,3.28 ,5.57,1.18 ,0.21,脆性
20,12-13,1.259 ,3.28 ,5.57,1.18 ,0.21,脆性
21,12-17,0.815 ,3.28 ,5.57,1.18 ,0.21,脆性
22,13-14,0.853 ,3.28 ,5.57,1.18 ,0.21,脆性
23,13-18,0.877 ,3.28 ,5.57,1.18 ,0.21,脆性
24,14-15,1.144 ,3.28 ,5.57,1.18 ,0.21,脆性
25,14-19,1.145 ,3.28 ,5.57,1.18 ,0.21,脆性
26,14-20,1.173 ,3.28 ,5.57,1.18 ,0.21,延性
27,15-16,1.216 ,3.28 ,5.57,1.18 ,0.21,延性
28,15-21,0.722 ,3.28 ,5.57,1.18 ,0.21,延性
29,16-21,0.973 ,3.28 ,5.57,1.18 ,0.21,延性
30,17-A,1.880 ,3.28 ,5.57,1.18 ,0.8,延性
31,17-18,0.850 ,3.28 ,5.57,1.18 ,0.21,延性
32,17-22,0.721 ,3.28 ,5.57,1.18 ,0.21,延性
33,18-19,0.990 ,3.28 ,5.57,1.18 ,0.21,延性
34,18-22,0.682 ,3.28 ,5.57,1.18 ,0.21,延性
35,18-23,1.141 ,3.28 ,5.57,1.18 ,0.21,延性
36,19-20,0.727 ,3.28 ,5.57,1.18 ,0.21,延性
37,19-23,0.451 ,3.28 ,5.57,1.18 ,0.21,延性
38,20-21,0.941 ,3.28 ,5.57,1.18 ,0.21,延性
39,20-24,0.562 ,3.28 ,5.57,1.18 ,0.21,延性
40,21-25,2.391 ,3.28 ,5.57,1.18 ,0.21,延性
41,22-26,1.012 ,3.28 ,5.57,1.18 ,0.21,延性
42,22-27,1.462 ,3.28 ,5.57,1.18 ,0.21,延性
43,23-24,1.040 ,3.28 ,5.57,1.18 ,0.21,延性
44,23-27,1.121 ,3.28 ,5.57,1.18 ,0.21,延性
45,24-28,2.596 ,3.28 ,5.57,1.18 ,0.21,延性
46,26-A,0.632 ,3.28 ,5.57,1.18 ,0.8,延性
47,27-29,2.534 ,3.28 ,5.57,1.18 ,0.21,延性
48,27-30,1.794 ,3.28 ,5.57,1.18 ,0.21,延性
49,29-44,5.413 ,3.28 ,5.57,1.18 ,0.21,脆性
50,30-32,1.207 ,3.28 ,5.57,1.18 ,0.21,脆性
51,30-44,5.600 ,3.28 ,5.57,1.18 ,0.21,脆性
52,31-32,1.877 ,3.28 ,5.57,1.18 ,0.21,脆性
53,32-33,0.600 ,3.28 ,5.57,1.18 ,0.21,脆性
54,32-34,1.425 ,3.28 ,5.57,1.18 ,0.21,脆性
55,34-35,1.815 ,3.28 ,5.57,1.18 ,0.21,脆性
